Product_Name,Revenue,Revenue_Rank
"Smoke On The Water",1.98,104
"Onde Anda Você",1.98,104
"The Garden",1.98,104
"Plaster Caster",1.98,104
Esquinas,1.98,104
"Mama, I'm Coming Home",1.98,104
"Comportamento Geral",1.98,104
"Sunday Bloody Sunday",1.98,104
"Travis Walk",1.98,104
Re-Align,1.98,104
Moonchild,1.98,104
Rehab,1.98,104
"Lamento De Carnaval",1.98,104
Mel,1.98,104
"Light Years",1.98,104
Battery,1.98,104
"Year to the Day",1.98,104
"Abraham, Martin And John",1.98,104
"Hey America",1.98,104
"Heaven Coming Down",1.98,104
Motorbreath,1.98,104
Eruption,1.98,104
"Maybe I'm A Leo",1.98,104
"Pela Luz dos Olhos Teus (Miúcha e Tom Jobim)",1.98,104
"Saber Amar",1.98,104
"Dois Pra Lá, Dois Pra Cá",1.98,104
"Don't Look Now",1.98,104
"Tanto Tempo",1.98,104
"A Novidade (Live)",1.98,104
"I Believe",1.98,104
"Mis Penas Lloraba Yo (Ao Vivo) Soy Gitano (Tangos)",1.98,104
"Soldier Side - Intro",1.98,104
"The Last Song",1.98,104
Gangland,1.98,104
"Sun King",1.98,104
"In The Evening",1.98,104
Snowballed,1.98,104
"Morena De Angola",1.98,104
"Bron-Y-Aur Stomp",1.98,104
"Don't Take Your Love From Me",1.98,104
"When I Look At The World",1.98,104
"The Number Of The Beast",1.98,104
"Train In Vain",1.98,104
"Linha Do Equador",1.98,104
"Boris The Spider",1.98,104
"Hallowed Be Thy Name",1.98,104
"War Pigs",1.98,104
"What A Day",1.98,104
"Better Than You",1.98,104
"Lixo Do Mangue",1.98,104
"Romance Ideal",1.98,104
"Binky The Doormat",1.98,104
"Sunshine Of Your Love",1.98,104
"Whiskey In The Jar",1.98,104
Caffeine,1.98,104
"Lemon Drop",1.98,104
Breakdown,1.98,104
Azul,1.98,104
"Toda Cor",1.98,104
"Ando Meio Desligado",1.98,104
"Dazed and Confused",1.98,104
"Give Me Novacaine",1.98,104
"You've Got Another Thing Comin'",1.98,104
"City Of Blinding Lights",1.98,104
"A Melhor Forma",1.98,104
"Living On Love",1.98,104
Saturnine,1.98,104
"Dancing Days",1.98,104
"You Better You Bet",1.98,104
"Basket Case",1.98,104
Cornucopia,1.98,104
Açai,1.98,104
"Judgement Of Heaven",1.98,104
"So Central Rain",1.98,104
Babylon,1.98,104
"I'm Going Slightly Mad",1.98,104
"The House Jack Built",1.98,104
Eruption,1.98,104
"Right On Time",1.98,104
"Susie Q",1.98,104
"Balls to the Wall",1.98,104
"Don't Look To The Eyes Of A Stranger",1.98,104
"Só Tinha De Ser Com Você",1.98,104
"C'est La Vie",1.98,104
"No No No",1.98,104
"Rocket Queen",1.98,104
Miami,1.98,104
"Real Love",1.98,104
"Is This Love (Live)",1.98,104
"Two Hearts Beat As One",1.98,104
"Woman Of The World (Ao Vivo)",1.98,104
"Folhas Secas",1.98,104
Gyroscope,1.98,104
"Beautiful Boy",1.98,104
Holiday,1.98,104
"Under The Bridge",1.98,104
"Welcome Home (Sanitarium)",1.98,104
"Hallelujah Here She Comes",1.98,104
"The Clairvoyant",1.98,104
"Speed Of Light",1.98,104
"Chemical Wedding",1.98,104
"Bumbo Da Mangueira",1.98,104
"Ramble On",1.98,104
"Not The Doctor",1.98,104
"Leper Messiah",1.98,104
"Title Song",1.98,104
"A Cor Do Sol",1.98,104
"Sweet Hitch-Hiker",1.98,104
"Norwegian Wood",1.98,104
Promises,1.98,104
Easy,1.98,104
"Amor De Muito",1.98,104
"Nega Do Cabelo Duro",1.98,104
"Everlasting Love",1.98,104
"As Rosas Não Falam (Beth Carvalho)",1.98,104
"The Duke",1.98,104
"Pretty Noose",1.98,104
"Blue Rythm Fantasy",1.98,104
"Revolta Olodum",1.98,104
"Violent Pornography",1.98,104
Compadre,1.98,104
"Garden of Eden",1.98,104
"Lugar Nenhum",1.98,104
"The Prisoner",1.98,104
"Bullet With Butterfly Wings",1.98,104
"When My Left Eye Jumps",1.98,104
"I'm Gonna Crawl",1.98,104
"Meu Caro Amigo",1.98,104
"Nice Guys Finish Last",1.98,104
Voodoo,1.98,104
"Last Cup Of Sorrow",1.98,104
"Big Wave",1.98,104
"String Quartet No. 12 in C Minor, D. 703 "Quartettsatz": II. Andante - Allegro assai",1.98,104
"Shock Me",1.98,104
"We Are The Champions",1.98,104
Álibi,1.98,104
"Flying High Again",1.98,104
"Save The Children",1.98,104
"Cherub Rock",1.98,104
"Lay Down Sally",1.98,104
"Plot 180",1.98,104
Selvagem,1.98,104
Comida,1.98,104
"Bowels Of The Devil",1.98,104
"Pride (In The Name Of Love)",1.98,104
"How Many More Times",1.98,104
"Dirty Day",1.98,104
"Nossa Gente (Avisa Là)",1.98,104
Whatsername,1.98,104
Tear,1.98,104
Surrender,1.98,104
"Mr. Cab Driver",1.98,104
Brasil,1.98,104
Release,1.98,104
"Give Peace a Chance",1.98,104
"Que Luz É Essa",1.98,104
"Por Causa De Você",1.98,104
"Música No Ar",1.98,104
"Get Up",1.98,104
"Symphonie Fantastique, Op. 14: V. Songe d'une nuit du sabbat",1.98,104
"Tarde Em Itapoã",1.98,104
"Nothing Else Matters",1.98,104
"Fall On Me",1.98,104
"Deuces Are Wild",1.98,104
"Menino De Rua",1.98,104
"The Trooper",1.98,104
"Sure Know Something",1.98,104
L'Avventura,1.98,104
"Midnight From The Inside Out",1.98,104
"Perfect Crime",1.98,104
"Somebody To Love",1.98,104
Commotion,1.98,104
"Menestrel Das Alagoas",1.98,104
"Sweetest Thing",1.98,104
"Inject The Venom",1.98,104
"End Of Romanticism",1.98,104
"Midlife Crisis",1.98,104
"Peace On Earth",1.98,104
"Shoot Me Again",1.98,104
"All Along The Watchtower",1.98,104
"The Thin Line Between Love & Hate",1.98,104
"Bem Devagar",1.98,104
"Samba Do Lado",1.98,104
"The Unforgiven II",1.98,104
"Turbo Lover",1.98,104
"You're My Best Friend",1.98,104
"Cabeça Dinossauro",1.98,104
"For the Greater Good of God",1.98,104
"Stone Cold Crazy",1.98,104
"Aces High",1.98,104
"Mensagen De Amor (2000)",1.98,104
"When I Come Around",1.98,104
"Good Golly Miss Molly",1.98,104
"Children Of The Grave",1.98,104
"Shakes and Ladders",1.98,104
"Lonely Stranger",1.98,104
Untitled,1.98,104
"Music for the Funeral of Queen Mary: VI. "Thou Knowest, Lord, the Secrets of Our Hearts"",1.98,104
"Piece Of Pie",1.98,104
Waiting,1.98,104
"Walking Into Clarksdale",1.98,104
Starburst,1.98,104
"Samba De Orly",1.98,104
"Take It Or Leave It",1.98,104
"Minha Namorada",0.99,352
"Trac Trac",0.99,352
Longview,0.99,352
Frantic,0.99,352
Remedy,0.99,352
"14 Years",0.99,352
Firmamento,0.99,352
Brumário,0.99,352
"If You Don't Know Me By Now",0.99,352
"Seu Balancê",0.99,352
Overdrive,0.99,352
"Who Needs You",0.99,352
"The Playboy Mansion",0.99,352
Oceano,0.99,352
"Suzie-Q, Pt. 2",0.99,352
"Relvelation (Mother Earth)",0.99,352
"Era Uma Vez",0.99,352
Queixa,0.99,352
"Fast And Loose",0.99,352
"Every Breath You Take",0.99,352
"Piano Sonata No. 14 in C Sharp Minor, Op. 27, No. 2, "Moonlight": I. Adagio sostenuto",0.99,352
"The Wicker Man",0.99,352
"Vôo Sobre o Horizonte",0.99,352
[Untitled],0.99,352
"Your Time Is Gonna Come",0.99,352
"Four Sticks",0.99,352
"Talk About The Passion",0.99,352
"Hey Hey",0.99,352
"Love In An Elevator",0.99,352
Corduroy,0.99,352
"Smells Like Teen Spirit (Ao Vivo)",0.99,352
"Agora Que O Dia Acordou",0.99,352
Poeira,0.99,352
Release,0.99,352
"Symphony No. 3 Op. 36 for Orchestra and Soprano "Symfonia Piesni Zalosnych"  Lento E Largo - Tranquillissimo",0.99,352
Wrathchild,0.99,352
Headlong,0.99,352
"2 X 4",0.99,352
"No Memory",0.99,352
"Gimme Some Truth",0.99,352
"Boulevard Of Broken Dreams",0.99,352
"Mateus Enter",0.99,352
"Tea For One",0.99,352
"Naked In The Rain",0.99,352
"Humans Being",0.99,352
"Star A.D.",0.99,352
Cochise,0.99,352
"Salve Simpatia",0.99,352
"Bush Doctor",0.99,352
"The Fly",0.99,352
"King Of Dreams",0.99,352
"Banditismo Por Uma Questa",0.99,352
"I Like Dirt",0.99,352
Slither,0.99,352
"Zeca Violeiro",0.99,352
Carol,0.99,352
Cafezinho,0.99,352
"Bohemian Rhapsody",0.99,352
"Trash, Trampoline And The Party Girl",0.99,352
Animal,0.99,352
"Preciso Apender a Viver Só (Maysa)",0.99,352
"Nem 5 Minutos Guardados",0.99,352
"Only the Good Die Young",0.99,352
"Don't You Cry",0.99,352
Lament,0.99,352
"True Believers",0.99,352
"Sound of a Gun",0.99,352
"She Wears Black",0.99,352
"Communication Breakdown",0.99,352
"Panis Et Circenses",0.99,352
"Aeroplane Flies High",0.99,352
"Come Fly With Me",0.99,352
"The Tower",0.99,352
"Wearing And Tearing",0.99,352
"All I Want Is You",0.99,352
Madalena,0.99,352
"For Those About To Rock (We Salute You)",0.99,352
"The Educated Fool",0.99,352
"Most High",0.99,352
Beija-Flor,0.99,352
"Smokin' in The Boys Room",0.99,352
"You Got Me Rocking",0.99,352
"Wake Up Alone",0.99,352
"01 - Prowler",0.99,352
"Santo Antonio",0.99,352
"Last Caress/Green Hell",0.99,352
Rasul,0.99,352
Parabolicamará,0.99,352
"Sozinho (Caêdrum 'n' Bass)",0.99,352
"Moby Dick",0.99,352
"Bring Me Your Cup",0.99,352
"Wake Up",0.99,352
"Get What You Need",0.99,352
Ghost,0.99,352
"Into The Fire",0.99,352
"Opus No.1",0.99,352
"Olodum - Smile (Instrumental)",0.99,352
5.15,0.99,352
Orion,0.99,352
"Lost in Hollywood",0.99,352
"Put Your Head Out",0.99,352
"Anything Goes",0.99,352
Formosa,0.99,352
"Gostava Tanto De Você",0.99,352
"Brave New World",0.99,352
Maria,0.99,352
"Creeping Death",0.99,352
"Soul Singing",0.99,352
Coma,0.99,352
"Onde Você Mora?",0.99,352
Condição,0.99,352
"The Right Thing",0.99,352
"Faixa Amarela",0.99,352
"Evil Woman",0.99,352
"Every Time I Look At You",0.99,352
"Get Down, Make Love",0.99,352
"Last Night On Earth",0.99,352
"Um Amor Puro",0.99,352
"Someday Never Comes",0.99,352
"Mr. Crowley",0.99,352
"Amanhã Não Se Sabe",0.99,352
"Man On The Edge",0.99,352
"Voce Nao Entende Nada - Cotidiano",0.99,352
"Caso Você Queira Saber",0.99,352
"Don't Stand so Close to Me",0.99,352
"Concerto for Piano No. 2 in F Minor, Op. 21: II. Larghetto",0.99,352
"Bring Your Daughter... To The Slaughter",0.99,352
"Morro Da Casa Verde 2001",0.99,352
"Be Good Johnny",0.99,352
"Stand Inside Your Love",0.99,352
"Lamento Sertanejo",0.99,352
"Jorge Da Capadócia",0.99,352
"Stairway To Heaven",0.99,352
"Radio Free Aurope",0.99,352
"Drowning Man",0.99,352
Signe,0.99,352
"Too Young To Die",0.99,352
Sanctuary,0.99,352
"Não Sei O Que Eu Quero Da Vida",0.99,352
"Seis Da Tarde",0.99,352
Psychopomp,0.99,352
"Die With Your Boots On",0.99,352
Breakthru,0.99,352
"Metal Militia",0.99,352
"Dead And Bloated",0.99,352
Imagine,0.99,352
"Jesus Of Suburbia / City Of The Damned / I Don't Care / Dearly Beloved / Tales Of Another Broken Home",0.99,352
"Gota D'água",0.99,352
"Mellowship Slinky In B Major",0.99,352
"Right Now",0.99,352
"Get Out",0.99,352
"The Unforgiven",0.99,352
Midnight,0.99,352
"Don't Look Back",0.99,352
One,0.99,352
"A Touch Away",0.99,352
"Maracatu Atômico [Trip Hop]",0.99,352
"O Livro Dos Dias",0.99,352
Californication,0.99,352
"Fall To Pieces",0.99,352
"C'Mon Everybody",0.99,352
Equinocio,0.99,352
"Hemp Family",0.99,352
"Walk To The Water",0.99,352
"Pour Some Sugar On Me",0.99,352
"Wave (Os Cariocas)",0.99,352
"Lanterna Dos Afogados",0.99,352
"The Prophecy",0.99,352
"Into The Light",0.99,352
"My Ship",0.99,352
Nico,0.99,352
"Scar On the Sky",0.99,352
"Thinking 'Bout Tomorrow",0.99,352
"Reggae Tchan",0.99,352
"Cérebro Eletrônico",0.99,352
"Um Dia Qualquer",0.99,352
"Fly Me To The Moon",0.99,352
"King In Crimson",0.99,352
"The Wake-Up Bomb",0.99,352
"Saudosa Maloca",0.99,352
"Houses Of The Holy",0.99,352
"Same Ol' Situation",0.99,352
"Thief In The Night",0.99,352
"Back to Black",0.99,352
"Chains Of Misery",0.99,352
"Um Jantar Pra Dois",0.99,352
"The Wait",0.99,352
"Burden In My Hand",0.99,352
"Vida Boa",0.99,352
"Papeau Nuky Doe",0.99,352
"Wear You To The Ball",0.99,352
"Mouth To Mouth",0.99,352
"You Learn",0.99,352
"Are You Gonna Be My Girl",0.99,352
"Can't Keep",0.99,352
"Child In Time",0.99,352
"Reggae Odoyá",0.99,352
"Won't Get Fooled Again (Full Length Version)",0.99,352
"Shout It Out Loud",0.99,352
"Disposable Heroes",0.99,352
"Tease Me Please Me",0.99,352
"Paradise City",0.99,352
"Canto De Ossanha",0.99,352
"Vamo Batê Lata",0.99,352
"Réu Confesso",0.99,352
"The Wicker Man",0.99,352
"High Head Blues",0.99,352
"Chega no Suingue",0.99,352
"Don't Damn Me",0.99,352
Pensamento,0.99,352
Honolulu,0.99,352
"Just Ain't Good Enough",0.99,352
"The Deeper The Love",0.99,352
"Virginia Moon",0.99,352
"The Beginning...At Last",0.99,352
"Spread Your Wings",0.99,352
"If God Will Send His Angels",0.99,352
Lilás,0.99,352
"Hey Tonight",0.99,352
"Crazy Train",0.99,352
"Sua Impossivel Chance",0.99,352
"Sign Of The Cross",0.99,352
"Um Indio",0.99,352
Idolatrada,0.99,352
Roxanne,0.99,352
"Leandro De Itaquera 2001",0.99,352
"Heavy Love Affair",0.99,352
Eye,0.99,352
"Assum Preto",0.99,352
"Leave My Girl Alone",0.99,352
"Black Dog",0.99,352
"New Year's Day",0.99,352
"Let It Grow",0.99,352
"Dog Eat Dog",0.99,352
"I'm Real",0.99,352
"Murders In The Rue Morgue",0.99,352
"Música Urbana 2",0.99,352
"Entre E Ouça",0.99,352
"Territorial Pissings",0.99,352
"Paint It Black",0.99,352
"Sonata for Solo Violin: IV: Presto",0.99,352
"Run To The Hills",0.99,352
Innuendo,0.99,352
Scratch-N-Sniff,0.99,352
Imagine,0.99,352
"I Am",0.99,352
"Sick Again",0.99,352
"Suck My Kiss",0.99,352
Panama,0.99,352
"Midnight Cowboy",0.99,352
"Canta, Canta Mais",0.99,352
"Satch Boogie",0.99,352
"Elderly Woman Behind The Counter In A Small Town",0.99,352
"Sometimes I Feel Like Screaming",0.99,352
"Criança De Domingo",0.99,352
Leila,0.99,352
"Parallel Universe",0.99,352
"Do It For The Kids",0.99,352
"The Morning After",0.99,352
Money,0.99,352
"No Futuro",0.99,352
"Dancing Barefoot",0.99,352
"A Twist In The Tail",0.99,352
"Romaria (Renato Teixeira)",0.99,352
Óculos,0.99,352
Família,0.99,352
"The Evil That Men Do",0.99,352
Minority,0.99,352
"To Live Is To Die",0.99,352
"Take The Power",0.99,352
"Safe and Sound",0.99,352
"Levada do Amor (Ailoviu)",0.99,352
"Childhoods End?",0.99,352
"Garota Nacional",0.99,352
"Summer Love",0.99,352
"Evil Dick",0.99,352
"We're Gonna Groove",0.99,352
Heartland,0.99,352
"Me Deixas Louca",0.99,352
"Kickstart My Heart",0.99,352
"Saint Of Me",0.99,352
"Me & Mr. Jones",0.99,352
"Fear Is The Key",0.99,352
"Abrir A Porta",0.99,352
Helpless,0.99,352
"Black Hole Sun",0.99,352
Realce,0.99,352
Odara,0.99,352
"The Lemon Song",0.99,352
"Infeliz Natal",0.99,352
"Homely Girl",0.99,352
"Naked In Front Of The Computer",0.99,352
"Right Through You",0.99,352
"Journey To Arnhemland",0.99,352
Gone,0.99,352
"Love Child",0.99,352
"Going Down / Highway Star",0.99,352
"Jeito Faceiro",0.99,352
"The Seeker",0.99,352
"Fates Warning",0.99,352
She,0.99,352
"The Thing That Should Not Be",0.99,352
Radio/Video,0.99,352
"Still Loving You",0.99,352
"Out Ta Get Me",0.99,352
"Brasília 5:31",0.99,352
"Cristina Nº 2",0.99,352
"Rime of the Ancient Mariner",0.99,352
"As We Sleep",0.99,352
Attitude,0.99,352
"Girl From A Pawnshop",0.99,352
Armadura,0.99,352
"Já Foi",0.99,352
Believe,0.99,352
"Santana Jam",0.99,352
"Now You're Gone",0.99,352
"Friend Of A Friend",0.99,352
"Heart Of Gold",0.99,352
"Sheer Heart Attack",0.99,352
"Do You Feel Loved",0.99,352
"Run Through The Jungle",0.99,352
"Sonifera Ilha",0.99,352
"The Number Of The Beast",0.99,352
"Saudade Dos Aviões Da Panair (Conversando No Bar)",0.99,352
"Back Door Man",0.99,352
"Jupiter, the Bringer of Jollity",0.99,352
"2 Minutes To Midnight",0.99,352
"Gavioes 2001",0.99,352
"You Sure Love To Ball",0.99,352
Disarm,0.99,352
"Esperando Na Janela",0.99,352
"Stone Crazy",0.99,352
"All My Love",0.99,352
Endgame,0.99,352
"Knockin On Heavens Door",0.99,352
Spellbound,0.99,352
"It's Too Funky In Here",0.99,352
"Theme From The Swan",0.99,352
"Você Passa, Eu Acho Graça (Ao Vivo)",0.99,352
Primavera,0.99,352
"In Bloom",0.99,352
"Waiting On A Sign",0.99,352
Slowness,0.99,352
Powerslave,0.99,352
"I Want It All",0.99,352
"(Anesthesia) Pulling Teeth",0.99,352
"Gimme Some Truth",0.99,352
"Com Açúcar E Com Afeto",0.99,352
"Night Flight",0.99,352
"The Power Of Equality",0.99,352
Unchained,0.99,352
"Be Aggressive",0.99,352
Angela,0.99,352
"Highway Chile",0.99,352
Dissident,0.99,352
"Space Truckin'",0.99,352
"Surprise! You're Dead!",0.99,352
"Yesterday To Tomorrow",0.99,352
"Sem Sentido",0.99,352
Bossa,0.99,352
"Sweetest Thing",0.99,352
"Lick It Up",0.99,352
"Coração do Agreste (Fafá de Belém)",0.99,352
"O Amor Nao Sabe Esperar",0.99,352
"Go Back",0.99,352
Redundant,0.99,352
"Harvester Of Sorrow",0.99,352
"Rock The Casbah",0.99,352
"Four Walled World",0.99,352
"Magnetic Ocean",0.99,352
TriboTchan,0.99,352
"Heart Of Lothian: Wide Boy / Curtain Call",0.99,352
Ali,0.99,352
"I Get A Kick Out Of You",0.99,352
"KKK Bitch",0.99,352
"Whole Lotta Love (Medley)",0.99,352
Hairshirt,0.99,352
"Love Rescue Me",0.99,352
Romaria,0.99,352
"Meu Refrigerador Não Funciona",0.99,352
"A Moça e a Chuva",0.99,352
"Gimmie Shelters",0.99,352
"Age Of Innocence",0.99,352
"Linha Do Horizonte",0.99,352
"My Friend Of Misery",0.99,352
Spoonman,0.99,352
"Whole Lotta Love",0.99,352
"The Finest Worksong",0.99,352
"The Wanderer",0.99,352
Stripsearch,0.99,352
"All I Really Want",0.99,352
"Severed Hand",0.99,352
"I Need Love",0.99,352
"Black Satin",0.99,352
"Todo Amor (Asas Da Liberdade)",0.99,352
"Magic Bus",0.99,352
"Pini Di Roma (Pinien Von Rom)  I Pini Della Via Appia",0.99,352
"Holy Smoke",0.99,352
"Goin' Blind",0.99,352
Revenga,0.99,352
"The Zoo",0.99,352
"Welcome to the Jungle",0.99,352
"Sangue De Bairro",0.99,352
"Soul Parsifal",0.99,352
"On Mercury",0.99,352
Valentino's,0.99,352
"Prince Charming",0.99,352
"Cursed Diamonds",0.99,352
"Um Lugar ao Sol",0.99,352
"Back off Bitch",0.99,352
Extra,0.99,352
"American Woman",0.99,352
"La Puesta Del Sol",0.99,352
"Here I Go Again",0.99,352
Still,0.99,352
A.N.D.R.O.T.A.Z.,0.99,352
"Tyrant (Live)",0.99,352
"We Will Rock You",0.99,352
Yahweh,0.99,352
Cigano,0.99,352
"Who'll Stop The Rain",0.99,352
"I Don't Know",0.99,352
"Polícia (Vinheta)",0.99,352
Invaders,0.99,352
"Lindo Lago Do Amor",0.99,352
"Maria, Maria",0.99,352
"The Crystal Ship",0.99,352
"Die Walküre: The Ride of the Valkyries",0.99,352
"Where Eagles Dare",0.99,352
"Man With The Woman Head",0.99,352
Drown,0.99,352
"Divirta-Se (Saindo Da Sua)",0.99,352
"First Time I Met The Blues",0.99,352
"Hot Dog",0.99,352
"Losing My Religion",0.99,352
"Angel Of Harlem",0.99,352
"Swing Low Sweet Chariot",0.99,352
"Breaking The Rules",0.99,352
"Ito Okashi",0.99,352
"Eu Sou Neguinha (Ao Vivo)",0.99,352
"Maria Maria",0.99,352
Breed,0.99,352
"Help Yourself",0.99,352
"2 Minutes To Midnight",0.99,352
"Under Pressure",0.99,352
"Let Me Love You Baby",0.99,352
"Cold Turkey",0.99,352
Changes,0.99,352
"A Banda",0.99,352
"Down By The Seaside",0.99,352
"Século XXI",0.99,352
Malpractice,0.99,352
Ligia,0.99,352
"Stone Free",0.99,352
Go,0.99,352
Showcase,0.99,352
"Sincero Breu",0.99,352
"Salve Nossa Senhora",0.99,352
"Back in the Village",0.99,352
"Doesn't Remind Me",0.99,352
"Encontrar Alguém",0.99,352
"Brain Damage",0.99,352
"The Three Sunrises",0.99,352
"High Ball Shooter",0.99,352
Formigueiro,0.99,352
Sanctuary,0.99,352
"Walking Contradiction",0.99,352
"...And Justice For All",0.99,352
"This Is Radio Clash",0.99,352
"Say Hello 2 Heaven",0.99,352
"Don't Cry",0.99,352
"Felicidade Urgente",0.99,352
"O Último Romântico (Ao Vivo)",0.99,352
Maquinarama,0.99,352
"Walking After You",0.99,352
"A Statistic",0.99,352
"Going To California",0.99,352
"You Are The Everything",0.99,352
"Silver And Gold",0.99,352
"Blue Train",0.99,352
"Lightning Strikes Twice",0.99,352
"Rita Lee",0.99,352
"É Fogo",0.99,352
"Under My Thumb",0.99,352
"Peer Gynt Suite No.1, Op.46: 1. Morning Mood",0.99,352
"Gates Of Tomorrow",0.99,352
"Of Wolf And Man",0.99,352
Outshined,0.99,352
Sozinho,0.99,352
"I Can't Quit You Baby",0.99,352
"The First Time",0.99,352
"San Francisco Bay Blues",0.99,352
Angel,0.99,352
"King For A Day",0.99,352
"F*Ckin' Up",0.99,352
E.S.P.,0.99,352
Elza,0.99,352
"Pictures Of Lily",0.99,352
"Symphony No. 2, Op. 16 -  "The Four Temperaments": II. Allegro Comodo e Flemmatico",0.99,352
Sanctuary,0.99,352
"Love Gun",0.99,352
"Mama Said",0.99,352
"Sabbath, Bloody Sabbath",0.99,352
"Homecoming / The Death Of St. Jimmy / East 12th St. / Nobody Likes You / Rock And Roll Girlfriend / We're Coming Home Again",0.99,352
Manguetown,0.99,352
"Música De Trabalho",0.99,352
"I Could Die For You",0.99,352
"One I Want",0.99,352
Epic,0.99,352
Playtime,0.99,352
"Bad Seed",0.99,352
"Sting Me",0.99,352
"Instinto Colectivo",0.99,352
"You Ain't the First",0.99,352
"Soldado Da Paz",0.99,352
